
[legalize_heu] multi-pass local move
  Tier 0 bbox_center=(134.00, 134.00)
    [move_apply] module_id=66 center=(151.024, 30.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=69 center=(27, 28.6197) dx=-11.917 dy=-11.8803 rot90=0 weight=27
    [move_apply] module_id=14 center=(218.095, 32.485) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=18 center=(92.0244, 24) dx=0.60745 dy=0 rot90=0 weight=27
    [move_apply] module_id=48 center=(38.0244, 13.5) dx=0.60745 dy=0 rot90=0 weight=27
  Tier 2 [left->right] init_w=27.00 mul=4.00 side_bias=-0.00(axis=1)
    [move_apply] module_id=4 center=(14.5, 112.62) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=43 center=(30.5, 202.12) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=56 center=(8.5, 71.6197) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=65 center=(28, 150.62) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=69 center=(27, 26.6197) dx=0 dy=-2 rot90=0 weight=108
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=48 center=(67.5, 28.5) dx=29.4756 dy=15 rot90=1 weight=108
    [move_apply] module_id=42 center=(54.9204, 83.5) dx=0 dy=14.8803 rot90=0 weight=108
    [move_apply] module_id=89 center=(69.5, 129) dx=12.5 dy=20.3803 rot90=1 weight=108
    [move_apply] module_id=52 center=(82.401, 245.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=64 center=(84.5, 198) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=18 center=(105, 25.5) dx=12.9756 dy=1.5 rot90=1 weight=108
    [move_apply] module_id=11 center=(102.5, 143.5) dx=7 dy=0 rot90=0 weight=108
    [move_apply] module_id=39 center=(113.42, 88) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=92 center=(104.524, 54) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=8 center=(134.401, 237) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=81 center=(142, 181) dx=7 dy=0 rot90=0 weight=108
    [move_apply] module_id=66 center=(162.5, 30.5) dx=11.4756 dy=0 rot90=0 weight=108
    [move_apply] module_id=22 center=(147.5, 135.032) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=12 center=(171.42, 78.0179) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=47 center=(194.5, 175.319) dx=7 dy=4.80133 rot90=0 weight=108
    [move_apply] module_id=2 center=(188.5, 208.819) dx=2.59905 dy=0 rot90=0 weight=108
    [move_apply] module_id=58 center=(182.401, 247.975) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=29 center=(184, 123.018) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=14 center=(227.5, 32.485) dx=9.40506 dy=0 rot90=0 weight=108
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=94 center=(222.42, 86.2112) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=7 center=(225.401, 248) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=13 center=(244, 144.211) dx=0 dy=-5.47207 rot90=0 weight=108
    [move_apply] module_id=32 center=(241.5, 213.319) dx=-5 dy=8.63602 rot90=1 weight=108
    [move_apply] module_id=9 center=(254.076, 95.2112) dx=0 dy=-5.47207 rot90=0 weight=108
  Tier 2 [right->left] init_w=27.00 mul=4.00 side_bias=0.00(axis=1)
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=13 center=(244, 144.211) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=9 center=(254.076, 95.2112) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=14 center=(227.5, 32.485) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=7 center=(225.401, 248) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=94 center=(222.42, 86.2112) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=47 center=(187.5, 170.518) dx=-7 dy=-4.80133 rot90=0 weight=108
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=58 center=(182.401, 247.975) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=12 center=(171.42, 78.0179) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=66 center=(162.5, 30.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=29 center=(184, 123.018) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=22 center=(147.5, 135.032) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=81 center=(135, 181) dx=-7 dy=0 rot90=0 weight=108
    [move_apply] module_id=8 center=(134.401, 237) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=39 center=(113.42, 88) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=18 center=(105, 25.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=11 center=(95.5, 143.5) dx=-7 dy=0 rot90=0 weight=108
    [move_apply] module_id=92 center=(74.5244, 59) dx=-30 dy=5 rot90=0 weight=108
    [move_apply] module_id=52 center=(82.401, 245.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=64 center=(84.5, 198) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=42 center=(48, 93.5) dx=-6.92044 dy=10 rot90=0 weight=108
    [move_apply] module_id=89 center=(62.5, 139) dx=-7 dy=10 rot90=0 weight=108
    [move_apply] module_id=48 center=(52.5, 13.5) dx=-15 dy=-15 rot90=1 weight=108
    [move_apply] module_id=43 center=(30.5, 202.12) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=65 center=(28, 150.62) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=69 center=(44, 40.5) dx=17 dy=13.8803 rot90=0 weight=108
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=4 center=(9.5, 107.62) dx=-5 dy=-5 rot90=1 weight=108
    [move_apply] module_id=56 center=(8.5, 61.6197) dx=0 dy=-10 rot90=0 weight=108
  Tier 2 [bottom->top] init_w=81.00 mul=4.00 side_bias=-0.00(axis=2)
    [move_apply] module_id=18 center=(105, 25.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=48 center=(52.5, 13.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=66 center=(162.5, 30.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=14 center=(227.5, 32.485) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=69 center=(44, 40.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=56 center=(8.5, 61.6197) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=92 center=(84, 59) dx=9.47557 dy=0 rot90=0 weight=324
    [move_apply] module_id=94 center=(222.42, 86.2112) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=39 center=(113.42, 92.0321) dx=0 dy=4.03212 rot90=0 weight=324
    [move_apply] module_id=12 center=(171.42, 78.0179) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=42 center=(44.5, 89) dx=-3.5 dy=-4.5 rot90=1 weight=324
    [move_apply] module_id=9 center=(254.076, 95.2112) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=29 center=(184, 123.018) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=4 center=(9.5, 107.62) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=11 center=(95.5, 147.532) dx=0 dy=4.03212 rot90=0 weight=324
    [move_apply] module_id=13 center=(244, 144.211) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=22 center=(147.5, 135.032) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=89 center=(62.5, 139) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=65 center=(28, 150.62) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=47 center=(187.5, 170.518) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=64 center=(86, 200.532) dx=1.5 dy=2.53212 rot90=1 weight=324
    [move_apply] module_id=43 center=(30.5, 202.12) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=8 center=(136, 237) dx=1.59905 dy=0 rot90=0 weight=324
    [move_apply] module_id=52 center=(84, 245.5) dx=1.59905 dy=0 rot90=0 weight=324
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=58 center=(184, 247.975) dx=1.59905 dy=0 rot90=0 weight=324
    [move_apply] module_id=7 center=(227, 248) dx=1.59905 dy=0 rot90=0 weight=324
  Tier 2 [top->bottom] init_w=81.00 mul=4.00 side_bias=0.00(axis=2)
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=43 center=(30.5, 202.12) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=-1.03212 rot90=0 weight=324
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=47 center=(187.5, 170.518) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=65 center=(28, 150.62) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=11 center=(95.5, 146.5) dx=0 dy=-1.03212 rot90=0 weight=324
    [move_apply] module_id=13 center=(244, 144.211) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=89 center=(69.5, 109) dx=7 dy=-30 rot90=0 weight=324
    [move_apply] module_id=29 center=(184, 123.018) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=22 center=(147.5, 135.032) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=4 center=(9.5, 107.62) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=42 center=(50, 63.5) dx=5.5 dy=-25.5 rot90=1 weight=324
    [move_apply] module_id=39 center=(113.42, 91) dx=0 dy=-1.03212 rot90=0 weight=324
    [move_apply] module_id=94 center=(222.42, 86.2112) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=9 center=(254.076, 95.2112) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=56 center=(8.5, 61.6197) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=12 center=(171.42, 78.0179) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=92 center=(94, 57) dx=10 dy=-2 rot90=0 weight=324
    [move_apply] module_id=66 center=(162.5, 30.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=69 center=(44, 23.5) dx=0 dy=-17 rot90=0 weight=324
    [move_apply] module_id=14 center=(227.5, 32.485) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=18 center=(105, 25.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=48 center=(28.5, 13.5) dx=-24 dy=0 rot90=0 weight=324
  Tier 2 [shake rotations]
    [shake_rot] module_id=18 new_size=(51x48) center=(105, 25.5)
    [shake_rot] module_id=39 new_size=(52x55) center=(113.42, 91)
    [shake_rot] module_id=48 new_size=(27x57) center=(28.5, 28.5)
    [shake_rot] module_id=64 new_size=(47x50) center=(86, 199.5)
    [shake_rot] module_id=69 new_size=(27x54) center=(44, 27)
    [shake_rot] module_id=74 new_size=(42x38) center=(25.5667, 247)
  Tier 2 [iter=0] shake rotated=6 modules
  Tier 2 [iter=1] running sweeps (h-first)
  Tier 2 [near->far] init_w=2.00 mul=4.00 side_bias=0.00(axis=0)
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0.467883 rot90=0 weight=8
    [move_apply] module_id=11 center=(88.1667, 147.5) dx=-7.33333 dy=1 rot90=1 weight=8
    [move_apply] module_id=81 center=(137.667, 181) dx=2.66667 dy=0 rot90=0 weight=8
    [move_apply] module_id=39 center=(113.42, 91) dx=0 dy=0 rot90=1 weight=8
    [move_apply] module_id=29 center=(184, 123.018) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=47 center=(190.167, 172.296) dx=2.66667 dy=1.77778 rot90=0 weight=8
    [move_apply] module_id=12 center=(171.42, 78.0179) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=1 weight=8
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=94 center=(222.42, 86.2112) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=65 center=(28, 150.62) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=66 center=(164, 30.5) dx=1.5 dy=0 rot90=0 weight=8
    [move_apply] module_id=42 center=(50, 63.5) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=13 center=(244, 144.211) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=18 center=(105, 24) dx=0 dy=-1.5 rot90=0 weight=8
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=43 center=(30.5, 202.12) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=9 center=(254.076, 95.2112) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=4 center=(9.5, 107.62) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=14 center=(229, 32.485) dx=1.5 dy=0 rot90=0 weight=8
    [move_apply] module_id=69 center=(52.5, 23.5) dx=8.5 dy=-3.5 rot90=1 weight=8
    [move_apply] module_id=56 center=(8.5, 61.6197) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=8
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=-15 rot90=1 weight=8
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=8
  Tier 2 [left->right] init_w=6.00 mul=4.00 side_bias=-0.00(axis=1)
    [move_apply] module_id=4 center=(9.5, 107.62) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=43 center=(30.5, 202.12) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=56 center=(8.5, 61.6197) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=65 center=(28, 150.62) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=42 center=(48.5, 63.5) dx=-1.5 dy=0 rot90=0 weight=24
    [move_apply] module_id=69 center=(82.5, 23.5) dx=30 dy=0 rot90=0 weight=24
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=11 center=(88.1667, 147.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=18 center=(133.5, 39.5) dx=28.5 dy=15.5 rot90=1 weight=24
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=39 center=(113.42, 91) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=81 center=(137.667, 181) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=66 center=(188, 33.5) dx=24 dy=3 rot90=1 weight=24
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=2.98207 rot90=0 weight=24
    [move_apply] module_id=47 center=(190.167, 175.319) dx=0 dy=3.02355 rot90=0 weight=24
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=2.98207 rot90=0 weight=24
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=14 center=(246.5, 31.5) dx=17.5 dy=-0.984992 rot90=1 weight=24
    [move_apply] module_id=94 center=(231.42, 87.5) dx=9 dy=1.28884 rot90=1 weight=24
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=13 center=(244, 144.211) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=9 center=(247.5, 107.711) dx=-6.57569 dy=12.5 rot90=1 weight=24
  Tier 2 [right->left] init_w=6.00 mul=4.00 side_bias=0.00(axis=1)
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=13 center=(244, 144.211) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=9 center=(247.5, 107.711) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=-4 rot90=0 weight=24
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=47 center=(187.5, 175.319) dx=-2.66667 dy=0 rot90=0 weight=24
    [move_apply] module_id=66 center=(191, 32.5) dx=3 dy=-1 rot90=1 weight=24
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=81 center=(135, 181) dx=-2.66667 dy=0 rot90=0 weight=24
    [move_apply] module_id=18 center=(133.5, 39.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=39 center=(113.42, 91) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=11 center=(85.5, 147.5) dx=-2.66667 dy=0 rot90=0 weight=24
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=69 center=(82.5, 23.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=42 center=(48.5, 63.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=43 center=(30.5, 202.12) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=65 center=(28, 150.62) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=4 center=(9.5, 107.62) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=56 center=(8.5, 61.6197) dx=0 dy=0 rot90=0 weight=24
  Tier 2 [bottom->top] init_w=18.00 mul=6.00 side_bias=-0.00(axis=2)
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=66 center=(191, 32.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=69 center=(84, 13.5) dx=1.5 dy=-10 rot90=0 weight=108
    [move_apply] module_id=18 center=(133.5, 39.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=56 center=(8.5, 61.6197) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=42 center=(48.5, 63.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=39 center=(113.42, 91) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=4 center=(9.5, 107.62) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=9 center=(238.5, 112) dx=-9 dy=4.28884 rot90=0 weight=108
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=4.28884 rot90=0 weight=108
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=65 center=(28, 150.62) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=43 center=(30.5, 202.12) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=108
  Tier 2 [top->bottom] init_w=18.00 mul=6.00 side_bias=0.00(axis=2)
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=43 center=(30.5, 202.12) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=65 center=(28, 150.62) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=4 center=(9.5, 107.62) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=39 center=(113.42, 91) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=56 center=(8.5, 61.6197) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=42 center=(48.5, 63.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=18 center=(133.5, 39.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=66 center=(191, 32.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=69 center=(82.5, 23.5) dx=-1.5 dy=10 rot90=0 weight=108
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=108
  Tier 2 [left->right] init_w=54.00 mul=8.00 side_bias=-0.00(axis=1)
    [move_apply] module_id=4 center=(9.5, 107.62) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=43 center=(30.5, 202.12) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=56 center=(8.5, 61.6197) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=65 center=(28, 150.62) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=432
